EDC3_gas_a (yr),CO2 (ppmv),"bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,celsius,difference",Gasage (yr BP),CO2 (ppmv),sigma mean CO2 (ppmv),"bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,celsius,difference",EDC3_gas_a (yr),CO2 (ppmv),unc,"bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,celsius,difference",Bag,ztop,Age,Deuterium,Temperature,"bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,celsius,difference",bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,celsius,difference,"bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,celsius,difference",Year,Month,Median montly series,"bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,celsius,difference",Year,Month,Median montly series,"bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,celsius,difference",year,Annual,"bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,celsius,difference",Depth,Age,CH4_mean,1s,Lab.
1153.0,277.7,"13,6.6,38.51757,31.06,-390.9,218.3,3.07229,-53.849999999999966,-0.01999999999998181",-36.616016200000104,344.71776861346984,0.09387945585027316,"13,6.6,38.51757,31.06,-390.9,218.3,3.07229,-53.849999999999966,-0.01999999999998181",-21.0,326.32,0.12,"13,6.6,38.51757,31.06,-390.9,218.3,3.07229,-53.849999999999966,-0.01999999999998181",13.0,6.6,38.37379,-390.9,0.88,"13,6.6,38.51757,31.06,-390.9,218.3,3.07229,-53.849999999999966,-0.01999999999998181",13,6.6,38.51757,31.06,-390.9,218.3,3.07229,-53.849999999999966,-0.01999999999998181,"13,6.6,38.51757,31.06,-390.9,218.3,3.07229,-53.849999999999966,-0.01999999999998181",1712.0,1.0,42.6,"13,6.6,38.51757,31.06,-390.9,218.3,3.07229,-53.849999999999966,-0.01999999999998181",1712.0,1.0,42.6,"13,6.6,38.51757,31.06,-390.9,218.3,3.07229,-53.849999999999966,-0.01999999999998181",2010.0,9.1,"13,6.6,38.51757,31.06,-390.9,218.3,3.07229,-53.849999999999966,-0.01999999999998181",112.14,459.0,670.0,10.0,g
1233.0,278.7,"14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,-52.94999999999999,0.8799999999999955",-36.14322833999995,343.9736767615952,0.060520378828762864,"14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,-52.94999999999999,0.8799999999999955",-22.0,327.46,0.12,"14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,-52.94999999999999,0.8799999999999955",14.0,7.15,46.81203,-385.1,1.84,"14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,-52.94999999999999,0.8799999999999955",14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,-52.94999999999999,0.8799999999999955,"14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,-52.94999999999999,0.8799999999999955",1712.0,2.0,31.3,"14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,-52.94999999999999,0.8799999999999955",1712.0,2.0,31.3,"14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,-52.94999999999999,0.8799999999999955",2009.0,10.1,"14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,-52.94999999999999,0.8799999999999955",113.03,478.0,644.0,10.0,b
1350.0,277.4,"15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,-51.74999999999997,2.0800000000000125",-35.76218001999996,343.1107520502481,0.14370612931476692,"15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,-51.74999999999997,2.0800000000000125",-23.0,329.68,0.12,"15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,-51.74999999999997,2.0800000000000125",15.0,7.7,55.05624,-377.8,3.04,"15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,-51.74999999999997,2.0800000000000125",15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,-51.74999999999997,2.0800000000000125,"15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,-51.74999999999997,2.0800000000000125",1712.0,3.0,83.9,"15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,-51.74999999999997,2.0800000000000125",1712.0,3.0,83.9,"15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,-51.74999999999997,2.0800000000000125",2008.0,10.1,"15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,-51.74999999999997,2.0800000000000125",114.67,533.0,670.0,10.0,g
1453.0,279.2,"16,8.25,64.43646,57.05,-394.1,217.7,3.027896,-54.44999999999999,-0.6200000000000045",-34.916752950000046,342.0519764062061,0.46168058172044946,"16,8.25,64.43646,57.05,-394.1,217.7,3.027896,-54.44999999999999,-0.6200000000000045",-24.0,330.19,0.12,"16,8.25,64.43646,57.05,-394.1,217.7,3.027896,-54.44999999999999,-0.6200000000000045",16.0,8.25,64.41511,-394.1,0.35,"16,8.25,64.43646,57.05,-394.1,217.7,3.027896,-54.44999999999999,-0.6200000000000045",16,8.25,64.43646,57.05,-394.1,217.7,3.027896,-54.44999999999999,-0.6200000000000045,"16,8.25,64.43646,57.05,-394.1,217.7,3.027896,-54.44999999999999,-0.6200000000000045",1712.0,4.0,102.7,"16,8.25,64.43646,57.05,-394.1,217.7,3.027896,-54.44999999999999,-0.6200000000000045",1712.0,4.0,102.7,"16,8.25,64.43646,57.05,-394.1,217.7,3.027896,-54.44999999999999,-0.6200000000000045",2007.0,10.8,"16,8.25,64.43646,57.05,-394.1,217.7,3.027896,-54.44999999999999,-0.6200000000000045",114.78,539.0,668.0,10.0,g
1552.0,280.0,"17,8.8,73.05573,66.38,-398.7,217.0,3.011312,-55.14999999999998,-1.3199999999999932",-33.07684986999993,341.3292967441024,0.09745203958926607,"17,8.8,73.05573,66.38,-398.7,217.0,3.011312,-55.14999999999998,-1.3199999999999932",-25.0,331.13,0.12,"17,8.8,73.05573,66.38,-398.7,217.0,3.011312,-55.14999999999998,-1.3199999999999932",17.0,8.8,73.15077,-398.7,-0.42,"17,8.8,73.05573,66.38,-398.7,217.0,3.011312,-55.14999999999998,-1.3199999999999932",17,8.8,73.05573,66.38,-398.7,217.0,3.011312,-55.14999999999998,-1.3199999999999932,"17,8.8,73.05573,66.38,-398.7,217.0,3.011312,-55.14999999999998,-1.3199999999999932",1712.0,5.0,60.1,"17,8.8,73.05573,66.38,-398.7,217.0,3.011312,-55.14999999999998,-1.3199999999999932",1712.0,5.0,60.1,"17,8.8,73.05573,66.38,-398.7,217.0,3.011312,-55.14999999999998,-1.3199999999999932",2006.0,10.7,"17,8.8,73.05573,66.38,-398.7,217.0,3.011312,-55.14999999999998,-1.3199999999999932",115.22,554.0,680.0,10.0,g
1638.0,278.9,"18,9.35,81.72349,75.71,-395.9,217.4,2.994881,-54.74999999999997,-0.9199999999999875",-33.02591865999989,339.4604885213476,0.30194194663196283,"18,9.35,81.72349,75.71,-395.9,217.4,2.994881,-54.74999999999997,-0.9199999999999875",-26.0,332.03,0.12,"18,9.35,81.72349,75.71,-395.9,217.4,2.994881,-54.74999999999997,-0.9199999999999875",18.0,9.35,81.93244,-395.9,0.05,"18,9.35,81.72349,75.71,-395.9,217.4,2.994881,-54.74999999999997,-0.9199999999999875",18,9.35,81.72349,75.71,-395.9,217.4,2.994881,-54.74999999999997,-0.9199999999999875,"18,9.35,81.72349,75.71,-395.9,217.4,2.994881,-54.74999999999997,-0.9199999999999875",1712.0,6.0,102.7,"18,9.35,81.72349,75.71,-395.9,217.4,2.994881,-54.74999999999997,-0.9199999999999875",1712.0,6.0,102.7,"18,9.35,81.72349,75.71,-395.9,217.4,2.994881,-54.74999999999997,-0.9199999999999875",2005.0,10.6,"18,9.35,81.72349,75.71,-395.9,217.4,2.994881,-54.74999999999997,-0.9199999999999875",118.48,668.0,667.0,10.0,b
1733.0,278.7,"19,9.9,90.43857,85.04,-395.9,217.4,2.92487,-54.74999999999997,-0.9199999999999875",-29.14258988000006,334.84855553252345,0.3749721983570837,"19,9.9,90.43857,85.04,-395.9,217.4,2.92487,-54.74999999999997,-0.9199999999999875",-27.0,333.84,0.12,"19,9.9,90.43857,85.04,-395.9,217.4,2.92487,-54.74999999999997,-0.9199999999999875",19.0,9.9,90.75925,-395.9,0.05,"19,9.9,90.43857,85.04,-395.9,217.4,2.92487,-54.74999999999997,-0.9199999999999875",19,9.9,90.43857,85.04,-395.9,217.4,2.92487,-54.74999999999997,-0.9199999999999875,"19,9.9,90.43857,85.04,-395.9,217.4,2.92487,-54.74999999999997,-0.9199999999999875",1712.0,7.0,200.4,"19,9.9,90.43857,85.04,-395.9,217.4,2.92487,-54.74999999999997,-0.9199999999999875",1712.0,7.0,200.4,"19,9.9,90.43857,85.04,-395.9,217.4,2.92487,-54.74999999999997,-0.9199999999999875",2004.0,10.4,"19,9.9,90.43857,85.04,-395.9,217.4,2.92487,-54.74999999999997,-0.9199999999999875",118.74,678.0,669.0,10.0,g
1812.0,278.0,"20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,-55.24999999999997,-1.4199999999999875",-26.796750369999927,335.54695345792317,0.6340970031591255,"20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,-55.24999999999997,-1.4199999999999875",-28.0,335.41,0.12,"20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,-55.24999999999997,-1.4199999999999875",20.0,10.45,99.97031,-399.3,-0.52,"20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,-55.24999999999997,-1.4199999999999875",20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,-55.24999999999997,-1.4199999999999875,"20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,-55.24999999999997,-1.4199999999999875",1712.0,8.0,106.5,"20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,-55.24999999999997,-1.4199999999999875",1712.0,8.0,106.5,"20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,-55.24999999999997,-1.4199999999999875",2003.0,10.5,"20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,-55.24999999999997,-1.4199999999999875",120.85,736.0,680.0,10.0,b
1931.0,276.9,"21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,-53.94999999999999,-0.12000000000000455",-26.67036968000002,332.3689555204767,1.2670729590719434,"21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,-53.94999999999999,-0.12000000000000455",-29.0,336.84,0.12,"21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,-53.94999999999999,-0.12000000000000455",21.0,11.0,109.88879,-391.4,0.79,"21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,-53.94999999999999,-0.12000000000000455",21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,-53.94999999999999,-0.12000000000000455,"21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,-53.94999999999999,-0.12000000000000455",1712.0,9.0,111.5,"21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,-53.94999999999999,-0.12000000000000455",1712.0,9.0,111.5,"21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,-53.94999999999999,-0.12000000000000455",2002.0,10.4,"21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,-53.94999999999999,-0.12000000000000455",121.15,742.0,643.0,10.0,b
2057.0,276.7,"22,11.55,119.2176,114.51,-399.5,216.8,2.660774,-55.349999999999966,-1.5199999999999818",-25.570921230000067,332.3656863259178,0.03940064690413842,"22,11.55,119.2176,114.51,-399.5,216.8,2.660774,-55.349999999999966,-1.5199999999999818",-30.0,338.76,0.12,"22,11.55,119.2176,114.51,-399.5,216.8,2.660774,-55.349999999999966,-1.5199999999999818",22.0,11.55,119.25888,-399.5,-0.55,"22,11.55,119.2176,114.51,-399.5,216.8,2.660774,-55.349999999999966,-1.5199999999999818",22,11.55,119.2176,114.51,-399.5,216.8,2.660774,-55.349999999999966,-1.5199999999999818,"22,11.55,119.2176,114.51,-399.5,216.8,2.660774,-55.349999999999966,-1.5199999999999818",1712.0,10.0,180.4,"22,11.55,119.2176,114.51,-399.5,216.8,2.660774,-55.349999999999966,-1.5199999999999818",1712.0,10.0,180.4,"22,11.55,119.2176,114.51,-399.5,216.8,2.660774,-55.349999999999966,-1.5199999999999818",2001.0,9.9,"22,11.55,119.2176,114.51,-399.5,216.8,2.660774,-55.349999999999966,-1.5199999999999818",124.34,861.0,664.0,10.0,g
