bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,difference,celsius,datetime,datetimes
1,0,-50,-55,,218.3,3.105321,-0.02,-54.85,-2000,00:00.0
2,0.55,-43.55977,-50.51333333,,218.3,3.104805,-0.02,-54.85,-1993.55977,00:00.0
3,1.1,-37.44019,-46.02666667,,218.3,3.104404,-0.02,-54.85,-1987.44019,00:00.0
4,1.65,-31.64156,-41.54,,218.3,3.104025,-0.02,-54.85,-1981.64156,00:00.0
5,2.2,-24.55278,-34.51666667,,218.3,3.103453,-0.02,-54.85,-1974.55278,00:00.0
6,2.75,-17.78422,-27.49333333,,218.3,3.102677,-0.02,-54.85,-1967.78422,00:00.0
7,3.3,-11.01305,-20.47,,218.3,3.101557,-0.02,-54.85,-1961.01305,00:00.0
8,3.85,-3.2703,-12.21333333,,218.3,3.099708,-0.02,-54.85,-1953.2703,00:00.0
9,4.4,5.447842,-3.956666667,,218.3,3.096691,-0.02,-54.85,-1944.552158,00:00.0
10,4.95,13.52999,4.3,,218.3,3.092812,-0.02,-54.85,-1936.47001,00:00.0
11,5.5,22.27284,13.22,,218.3,3.087226,-0.02,-54.85,-1927.72716,00:00.0
12,6.05,30.70987,22.14,,218.3,3.080266,-0.02,-54.85,-1919.29013,00:00.0
13,6.6,38.51757,31.06,-390.9,218.3,3.07229,-0.02,-54.85,-1911.48243,00:00.0
14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,0.88,-53.95,-1902.99789,00:00.0
15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,2.08,-52.75,-1894.79448,00:00.0
16,8.25,64.43646,57.05,-394.1,217.7,3.027896,-0.62,-55.45,-1885.56354,00:00.0
17,8.8,73.05573,66.38,-398.7,217,3.011312,-1.32,-56.15,-1876.94427,00:00.0
18,9.35,81.72349,75.71,-395.9,217.4,2.994881,-0.92,-55.75,-1868.27651,00:00.0
19,9.9,90.43857,85.04,-395.9,217.4,2.92487,-0.92,-55.75,-1859.56143,00:00.0
20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,-1.42,-56.25,-1850.29515,00:00.0
21,11,109.8195,104.6866667,-391.4,218.2,2.668117,-0.12,-54.95,-1840.1805,00:00.0
